inquiry_seed_count,inquiry_seed_prop,inquiry_seed_log,inquiry_narrow_count,inquiry_narrow_prop,inquiry_narrow_log,inquiry_full_count,inquiry_full_prop,inquiry_full_log,inquiry_full_nohands_count,inquiry_full_nohands_prop,inquiry_full_nohands_log,traditional_prop,progressive_prop,numwords,numpages,reading1314,math1314,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocschoolcount,povertyschool,povertyschoolcount,pocsd,povertysd,childpovertysd,students,age,state,cmo,cmoname,titlei,urban,primary,middle,high,otherlevel,level,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,approgram,teachersccd,teacherscrdc,certcount,certrate,geodistrict,numpdfs,ncessch,ethnicisolated99,ethnicisolated95,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,readlevel13,mathlevel13,readall13,mathall13,readlevel14,mathlevel14,readall14,mathall14,readlevel15,mathlevel15,readall15,mathall15,readingscore,mathscore,readpct,mathpct,read5,math5,read10,math10,read20,math20,read50,math50,cmonum,statenum,pctpdfs,teachers,lnage,lnstudents,lnteachers
0,0,0,0,0,0,0,0,0,0,0,0,0,.00084459462,1185,12,90-94,85-89,45-49,45-49,,,60-64,40-44,17.901234,29,22.222221,36,.16360001,.0713,.14441586,162,13,AK,0,None,0,0,1,0,0,0,Primary,0,9,0,0,2,33,,10.57,10.82,10.82,1,200390,0,20039000448,1,1,1,1,1,23.68,3.5854321,8.71,2.8199999,0,43,4,5,5,.92000002,.87,5,5,.47,.44,,,,,,,,,,,,,,,,,None,AK,0,10.57,2.5649493,5.0875964,2.3580198
1,.00016880487,.079793453,1,.00016880487,.079793453,2,.00033766672,.1264721,1,.00016880487,.079793453,0,.00016883336,5924,12,90-94,90-94,65-69,45-49,,,40-44,40-44,30.859375,79,21.875,56,.16360001,.0713,.14441586,256,11,AK,0,None,0,0,1,0,0,0,Primary,0,1,0,0,8,44,,16.08,17.35,17.35,1,200390,0,20039000463,1,1,1,1,1,23.68,3.5854321,8.71,2.8199999,0,43,4,5,5,.92000002,.92000002,5,5,.67000002,.44,,,,,,,,,,,,,,,,,None,AK,0,16.08,2.3978953,5.5451775,2.7775762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,1,GE95,90-94,60-64,50-54,,,55-59,45-49,17.842323,43,0,0,.16319999,.064300001,.090778306,241,17,AK,0,None,0,0,1,0,0,0,Primary,0,0,0,0,6,35,,16.84,15.57,15.57,1,200510,0,20051000311,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.97000003,.92000002,5,5,.62,.51999998,,,,,,,,,,,,,,,,,None,AK,0,16.84,2.8332133,5.484797,2.8237569
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,2,90-94,85-89,55-59,60-64,,,60-64,55-59,17.460318,33,0,0,.16319999,.064300001,.090778306,189,17,AK,0,None,0,0,1,0,0,0,Primary,0,0,0,0,4,29,,7.4200001,8.6199999,8.6199999,1,200510,0,20051000312,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.92000002,.87,5,5,.56999999,.62,,,,,,,,,,,,,,,,,None,AK,0,7.4200001,2.8332133,5.2417469,2.004179
0,0,0,0,0,0,1,.0010384216,.100894,0,0,0,0,0,964,1,GE95,80-84,40-44,45-49,,,60-64,50-54,24.712645,43,0,0,.16319999,.064300001,.090778306,174,13,AK,0,None,0,0,0,0,0,1,Other,0,0,0,0,8,,No,9.96,10.73,10.73,1,200510,0,20051000452,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.97000003,.81999999,5,5,.41999999,.44,,,,,,,,,,,,,,,,,None,AK,0,9.96,2.5649493,5.1590552,2.2985771
0,0,0,0,0,0,2,.00021982854,.12051725,2,.00021982854,.12051725,0,.00010990219,9100,27,85-89,55-59,45-49,25-29,,,55-59,20-24,16.112532,63,0,0,.16319999,.064300001,.090778306,391,10,AK,0,None,0,0,0,0,0,1,Other,0,0,0,0,4,34,No,3.49,5.9699998,5.9699998,1,200510,0,20051000469,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.87,.56999999,5,5,.47,.27000001,,,,,,,,,,,,,,,,,None,AK,0,3.49,2.3025851,5.9687076,1.2499018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,1,85-89,75-79,55-59,45-49,,,60-64,40-44,25.702812,64,0,0,.16319999,.064300001,.090778306,249,7,AK,0,None,0,0,1,0,0,0,Primary,0,0,0,0,10,13,,14.91,13.12,13.12,1,200510,0,20051000740,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.87,.76999998,5,5,.56999999,.44,,,,,,,,,,,,,,,,,None,AK,0,14.91,1.9459101,5.5174527,2.7020321
0,0,0,1,.000040876388,.068594761,1,.000040876388,.068594761,1,.000040876388,.068594761,.0002043736,.00012263919,24465,66,85-89,70-74,36,34,,,54,36,27.57732,107,0,0,.16319999,.064300001,.090778306,388,5,AK,0,None,0,0,1,0,0,0,Primary,0,24,14,0,4,84,,22.73,25.35,25.35,1,200510,0,20051000744,1,1,1,1,1,20.58,4.0100541,9.8599997,3.28,0,45,6,5,5,.87,.72000003,1,1,.36000001,.34,,,,,,,,,,,,,,,,,None,AK,0,22.73,1.6094379,5.9610052,3.1236856
0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,1,GE95,85-89,60-64,40-44,,,55-59,45-49,20.394737,31,0,0,.235,.047499999,.090811066,152,17,AK,0,None,0,1,1,0,0,0,Primary,0,0,0,0,2,13,,7.5999999,7.5,7.5,1,200600,0,20060000162,1,1,1,1,1,33.369999,13.64774,8.46,5.1900001,0,37,4,5,5,.97000003,.87,5,5,.62,.41999999,,,,,,,,,,,,,,,,,None,AK,0,7.5999999,2.8332133,5.0238805,2.0281482
0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,1,75-79,40-44,15-19,10-14,,,11-19,LE10,36.125656,69,31.413612,60,.235,.047499999,.090811066,191,11,AK,0,None,1,0,0,0,1,0,High,0,8,0,0,4,26,No,11.79,14,14,1,200600,0,20060000462,1,1,1,1,1,33.369999,13.64774,8.46,5.1900001,0,37,4,5,5,.76999998,.41999999,5,5,.17,.12,,,,,,,,,,,,,,,,,None,AK,0,11.79,2.3978953,5.2522736,2.4672518
0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,1,90-94,85-89,65-69,65-69,,,70-74,75-79,21.5,43,0,0,.235,.047499999,.090811066,200,6,AK,0,None,0,0,1,0,0,0,Primary,0,0,0,2,2,,,10.19,7.5,7.5,1,200600,0,20060000742,1,1,1,1,1,33.369999,13.64774,8.46,5.1900001,0,37,4,5,5,.92000002,.87,5,5,.67000002,.67000002,,,,,,,,,,,,,,,,,None,AK,0,10.19,1.7917595,5.2983174,2.3214068
